,lat,lon,name
0,36.6722,5.4808,Ziama Mansouriah
1,36.7514,6.2745,El Milia
2,36.8167324,5.7715357,Monument Galère de Barberousse
3,36.7982,5.7879,École des fusiliers marins et plongeurs
4,36.8175, 5.7148, Ouled Bounar
5,36.7058, 5.5426,Taza
6,36.7713, 5.8976, Taher
7,36.7713, 5.9612, Chekfa
8,36.8010, 6.0933, Djemaa Bni Hbibi
9,36.7944, 5.8748, Aeroport Ferhat Abbas
10,36.8125, 5.9863, El kennar
11,36.7496, 6.2522,Complexe Sidérurgique de Bellara
12,36.6606, 5.7910,Texenna
13,36.7623, 5.7755,Beni Ahmed
14,36.8239, 5.8908,Port de Djendjen
15,36.7149, 5.5541,Aftis
16,36.7904, 5.6627,Parc zoologique de Taza
17,36.7748, 5.6879,Barrage de kissir
18,36.7547, 5.8443,Emir Abdelkader
19,36.8108, 5.8388,Tassoust
20,36.8076, 5.7544,Salle omnisports Aberkane
21,36.7713, 5.9612,Chekfa
21,36.6427, 6.0192,Ouled askeur
22,36.8825, 6.1179,Plage Beni Belaid
23,36.8129, 5.8746,centrale éléctrique de Jijel
24,36.8024, 5.7531,University of Jijel
25,36.8234, 5.7735,Port de Jijel
26,36.8176, 5.7689,Le Faubourg
27,36.8060, 5.7722,El Akabi
28,36.8137,5.7514,Ben Achour
29,36.81988,5.73905,Station d'épuration
